Method,Average_RMSE,Average_MAE,Average_Actual_Return_Positive,Average_Actual_Return_Negative,Average_Actual_Return_Positive_Daily,Average_Actual_Return_Negative_Daily,Capital_Positive,Capital_Negative,Capital_Daily_Investment,Time_Taken
1_Day_Return,1.487167722229125,1.487167722229125,-0.13009517947706917,0.04286891391522061,-0.13009517947707439,0.04286891391522829,72.8101074892925,108.74525843870492,81.55536592799744,863.8159377574921
2_Day_Return,2.187430364456084,2.187430364456084,-0.0069157156179877975,-0.19470202292507152,-0.0034579175949622787,-0.09739844374675455,99.28422343353829,80.23774467310527,79.52196810664356,864.1336870193481
3_Day_Return,2.766152784203457,2.766152784203457,-0.07992599341082222,-0.24207710803644075,-0.026649098917486125,-0.08075756963989988,94.29861247002808,84.42637271632223,78.72498518635034,764.616361618042
4_Day_Return,3.483696297524813,3.483696297524813,-0.057736155618097,-0.3632927536537211,-0.014437165079650427,-0.09094718405888713,96.96885183004984,82.38030144779442,79.34915327784428,610.1509335041046
5_Day_Return,4.124017674656311,4.124017674656311,-0.10724649976348652,-0.3816511448594977,-0.021458507327454246,-0.07644702259780312,95.45274841002811,85.57358672431097,81.02633513433908,430.47185468673706
6_Day_Return,4.267103442726647,4.267103442726647,-0.1893199130988478,-0.34051860418467206,-0.03157823798369819,-0.056833791527444166,93.7839961865879,88.59262675981353,82.37662294640143,430.9165508747101
7_Day_Return,4.354697390112381,4.354697390112381,-0.25513282845511076,-0.3083245863802012,-0.03648746269050429,-0.044104683297740976,93.22075627247845,90.79430877807687,84.01506505055532,433.49072885513306
8_Day_Return,5.713249704530317,5.713249704530317,-0.5072759123617478,-0.08658426304898902,-0.06355066356439343,-0.010827134932567262,88.01560657045377,97.80292432513185,85.81853089558562,429.8215937614441
9_Day_Return,6.993193020731665,6.993193020731665,-0.5266022311248162,-0.027632172743785814,-0.05864875796793845,-0.003070618536882286,88.82433042835109,99.39209219963669,88.21642262798778,425.15803599357605
10_Day_Return,7.726940391066289,7.726940391066289,-0.5642870837345392,-0.021615615525175585,-0.056572511527197555,-0.002161771836983739,89.33497411741722,99.57417237415414,88.90914649157135,414.91002917289734
