Method,Average_RMSE,Average_MAE,Average_Actual_Return_Positive,Average_Actual_Return_Negative,Average_Actual_Return_Positive_Daily,Average_Actual_Return_Negative_Daily,Capital_Positive,Capital_Negative,Capital_Daily_Investment,Time_Taken
1_Day_Return,2.311067894324158,2.311067894324158,-0.0378699811918012,-0.1365211246564594,-0.037869981191795965,-0.1365211246564635,92.95618349832505,69.69231032626597,62.64849382459105,1156.1661310195923
2_Day_Return,3.264672800927364,3.264672800927364,-0.08231282833834051,-0.10362677669985568,-0.041164886908739984,-0.05182681844547732,92.75647110622613,88.13473406786645,80.89120517409263,1248.6671147346497
3_Day_Return,4.1322449406972215,4.1322449406972215,-0.017895616183546466,-0.18752155148194335,-0.005965561266652042,-0.06254629606270434,98.86064576964752,86.81098421243681,85.67162998208421,1074.832631111145
4_Day_Return,4.839295838688906,4.839295838688906,0.1380433790857501,-0.30507262674422214,0.03449299416751206,-0.07635556476199845,106.3154845931731,83.52607815581212,89.84156274898524,1113.8419778347015
5_Day_Return,5.44454216095198,5.44454216095198,0.44014229048687264,-0.4978237823231034,0.08787388593189949,-0.09976361355039653,115.49300862513785,78.09575357778347,93.58876220292134,446.70699977874756
6_Day_Return,5.590738553300804,5.590738553300804,0.3131684106943182,-0.4005249128639677,0.052126757912063226,-0.06686582851629375,108.7687154994408,84.9803157676011,93.74903126704191,452.6504554748535
7_Day_Return,5.554029315667012,5.554029315667012,0.3961741467044939,-0.6099888934046274,0.056500447421137245,-0.08736994251369312,109.67796844092405,80.91606176348385,90.5940302044078,454.2013716697693
8_Day_Return,7.217902667452403,7.217902667452403,0.41545275531008247,-0.7397732481211592,0.05183744761099174,-0.09277233243620842,108.88030264475283,80.0261223007286,88.90642494548159,464.5307912826538
9_Day_Return,8.99959574146388,8.99959574146388,0.37074371795633776,-0.8443646355988078,0.04112602747281535,-0.09417225097735349,107.04413064117053,80.01670362416154,87.06083426533205,448.4897840023041
10_Day_Return,9.845031367839711,9.845031367839711,0.30544150474387255,-0.9833676399414779,0.030502248977848367,-0.09877464897262156,105.16196143017133,79.15260603324069,84.31456746341206,436.31689500808716
