Method,Average_RMSE,Average_MAE,Average_Actual_Return_Positive,Average_Actual_Return_Negative,Average_Actual_Return_Positive_Daily,Average_Actual_Return_Negative_Daily,Capital_Positive,Capital_Negative,Capital_Daily_Investment,Time_Taken
1_Day_Return,1.800091818131189,1.800091818131189,-0.020399137459659898,-0.22665437670576846,-0.020399137459659045,-0.2266543767057705,95.7569794083907,53.53585277531747,49.29283218370824,419.92086124420166
2_Day_Return,2.5144844832760342,2.5144844832760342,0.04465613739187246,-0.44119893902176543,0.02232557653909506,-0.22084332838935294,104.68889442614655,55.88010609782339,60.5690005239699,417.2656829357147
3_Day_Return,3.1377318995456256,3.1377318995456256,0.13465700957936064,-0.664370604633125,0.04486553768472401,-0.22194911786937999,109.47087634041497,56.59445383063588,66.0653301710508,419.7994019985199
4_Day_Return,3.6613914529769334,3.6613914529769334,0.199540461982991,-0.810814708869201,0.049847831014138144,-0.20332294037431753,110.12667844563677,59.25656087932251,69.38323932495928,420.3929588794708
5_Day_Return,4.191445195841926,4.191445195841926,0.12434497287965124,-0.8452246957110477,0.024856634458481075,-0.16961937862700616,105.12301288264158,67.0362368672692,72.15924974991074,422.41251015663147
6_Day_Return,4.393642019386651,4.393642019386651,0.02385199821960931,-0.8573230448137636,0.0039749380123632605,-0.14340028327930465,100.83084460464973,72.9943240883664,73.82516869301614,421.2989959716797
7_Day_Return,4.479790144481113,4.479790144481113,-0.04752792731328542,-0.8471807928265759,-0.006791087311319721,-0.12146756361601785,98.60811070011084,77.00509276613585,75.61320346624669,421.0450382232666
8_Day_Return,5.671638158148612,5.671638158148612,0.1101440783182798,-1.1012231725979893,0.013761379820120823,-0.1383206887213606,102.78113797753652,73.8459496507976,76.62708762833411,436.67013025283813
9_Day_Return,6.908925658389693,6.908925658389693,0.23692140514960305,-1.2968551239462702,0.02629692246749471,-0.1449323944937353,105.23859551386344,72.62194738335654,77.86054289721999,428.0713686943054
10_Day_Return,7.643677039180388,7.643677039180388,0.23018914067336776,-1.4072044247526116,0.02299510460277432,-0.14161956708452772,104.5347260712653,73.40383637217562,77.93856244344093,445.5346896648407
