Method,Average_RMSE,Average_MAE,Average_Actual_Return_Positive,Average_Actual_Return_Negative,Average_Actual_Return_Positive_Daily,Average_Actual_Return_Negative_Daily,Capital_Positive,Capital_Negative,Capital_Daily_Investment,Time_Taken
1_Day_Return,1.1411838627785307,1.1411838627785307,0.10596633482536412,-0.04630257182157548,0.10596633482535811,-0.04630257182157704,120.91241577552651,88.99247575497648,110.41006353428841,785.4054226875305
2_Day_Return,1.5790317489897965,1.5790317489897965,0.2880199280735729,-0.2442344019791629,0.143906418749995,-0.12219185523700826,134.65355147147142,78.60714744825735,106.89581429566789,788.7791764736176
3_Day_Return,1.9470509085882999,1.9470509085882999,0.3974037790915014,-0.3263063543080178,0.13229283524429647,-0.10888730618995313,129.73766726947392,80.04155650517471,104.47489246617127,960.1498947143555
4_Day_Return,2.3225260278366218,2.3225260278366218,0.6254349007897395,-0.5320181499060923,0.15599333664031434,-0.1332707171127434,135.45594874744037,76.16936767432212,103.62303484324214,1383.9355645179749
5_Day_Return,2.634676737406843,2.634676737406843,0.8596003611622047,-0.6994126350297675,0.1713319725959339,-0.14027551977551234,137.9924430314811,74.5564827704563,103.22540796246065,1388.144572019577
6_Day_Return,2.4728635980586193,2.4728635980586193,0.9636575476174536,-0.8063845273414929,0.1599684772619625,-0.13485122596186283,135.5481505497871,75.75832746545507,102.96435099038487,1398.8141148090363
7_Day_Return,2.219582219500322,2.219582219500322,1.139051292890222,-0.9360490843484841,0.16193281956660144,-0.13426086872161402,135.44926066309984,75.68798744091104,102.74863304433376,1427.2288541793823
8_Day_Return,3.1809088678551953,3.1809088678551953,1.1469657779426916,-0.9062036084888727,0.14265640662707302,-0.11372710779926631,129.89429557917103,78.71646514533268,102.4489974476062,1418.546525478363
9_Day_Return,3.9947698767796154,3.9947698767796154,1.2889740173845101,-1.0442698336006295,0.14240546152080036,-0.11657206747364146,130.05126984028055,78.46154687851147,102.2181215344243,1147.4836077690125
10_Day_Return,4.409103163496894,4.409103163496894,1.4872810305444994,-1.1547000977171753,0.14774197706131087,-0.11607443423806707,130.60479634016002,78.2937271147128,102.40688648796863,888.1531047821045
