Method,Average_RMSE,Average_MAE,Average_Actual_Return_Positive,Average_Actual_Return_Negative,Average_Actual_Return_Positive_Daily,Average_Actual_Return_Negative_Daily,Capital_Positive,Capital_Negative,Capital_Daily_Investment,Time_Taken
1_Day_Return,1.1309795432697733,1.1309795432697733,0.03790891098085662,-0.05940233113752049,0.037908910980855026,-0.0594023311375258,106.27939960900706,86.58215011669395,94.63089230536497,722.2332198619843
2_Day_Return,1.561185720413641,1.561185720413641,0.23916966342182647,-0.22087561202177225,0.1195134144297727,-0.11049885599676568,127.38697417522246,80.03511826591463,103.08995613462538,710.5965597629547
3_Day_Return,1.9271132276129315,1.9271132276129315,0.4028421649671237,-0.32697771723414043,0.13410081099598514,-0.10911158248536612,130.02611335755063,79.93782914997442,104.54579511148715,666.6090943813324
4_Day_Return,2.326495294223595,2.326495294223595,0.637678389076608,-0.5287809511836322,0.1590397900173235,-0.13245818302648482,136.9251070003024,76.60151593315891,105.25822793790643,664.0733113288879
5_Day_Return,2.5941163403720457,2.5941163403720457,0.8494342040648067,-0.6136503456198823,0.16931253457612705,-0.12303243649371964,136.99724455559723,77.08642013050118,105.8256378751758,655.3668248653412
6_Day_Return,2.44046649005808,2.44046649005808,0.9298314553859148,-0.6904736139829888,0.15437489129972448,-0.11541141857678294,134.31013307079868,78.92056383453968,106.12353178769682,664.18425822258
7_Day_Return,2.186161939233349,2.186161939233349,1.1533608222039016,-0.8590185232753244,0.16395716581565356,-0.12317113256082868,136.6369126918602,77.73102676600975,106.27125392436781,666.1265225410461
8_Day_Return,3.1031537587012608,3.1031537587012608,1.104556499883799,-0.7677095598093397,0.13740692016948053,-0.09628756616933964,129.53220605387386,82.03414791705043,106.2845202771549,677.7159931659698
9_Day_Return,3.893715511775641,3.893715511775641,1.2704237348211587,-0.8617466864511902,0.14036748479659966,-0.09611835372719257,129.7468673374894,81.92796091967814,106.29409187183528,675.508419752121
10_Day_Return,4.260605210283652,4.260605210283652,1.4638114712308046,-0.9796973849261459,0.14542575774803002,-0.09840435072192566,130.81822422448505,81.5683601162507,106.65439520267562,687.027663230896
