Method,Average_RMSE,Average_MAE,Average_Actual_Return_Positive,Average_Actual_Return_Negative,Average_Actual_Return_Positive_Daily,Average_Actual_Return_Negative_Daily,Capital_Positive,Capital_Negative,Capital_Daily_Investment,Time_Taken
1_Day_Return,1.3085764465874488,1.3085764465874488,-0.10208478260816332,0.13983400853595804,-0.10208478260815834,0.13983400853596617,79.07261956532649,128.38630373279943,107.45892329812598,533.8776109218597
2_Day_Return,1.9080319294777492,1.9080319294777492,-0.10185607337398793,0.20836627838200406,-0.050941011620320165,0.10412892502587034,89.1523281856702,120.00316272467235,109.15549091034252,494.77858209609985
3_Day_Return,2.3301386466286336,2.3301386466286336,-0.013007258951674764,0.16382888161709688,-0.004335940985011888,0.054579832205159384,99.08949187338276,110.48504842349419,109.57454029687693,487.3917782306671
4_Day_Return,2.6238315124860296,2.6238315124860296,0.14254627632846273,0.08139587743367317,0.0356175354307986,0.020342761097591477,107.41240636908007,103.88665314745788,111.29905951653794,483.22886061668396
5_Day_Return,2.9602975730327703,2.9602975730327703,0.15438107506368073,0.1698760622780388,0.030857165841924328,0.03395214965729032,106.17524300254723,106.6591416412991,112.83438464384638,465.72808504104614
6_Day_Return,2.999627728131845,2.999627728131845,0.12377584561270749,0.2940096174961586,0.02061867643434745,0.048941681620195965,104.10523221282155,109.50631096570912,113.61154317853067,471.430082321167
7_Day_Return,2.996328456005604,2.996328456005604,0.21061545274534907,0.26988041314615596,0.03006079868590472,0.03850982596811381,105.92732059869054,107.44098853388692,113.36830913257747,539.7214002609253
8_Day_Return,3.741091736310931,3.741091736310931,0.3569712823869756,0.16545415746680855,0.04455187791920778,0.020666814400138733,108.70117500818262,103.97089977920358,112.67207478738617,536.5581543445587
9_Day_Return,4.541938990994585,4.541938990994585,0.41127029777272994,0.16578729138504117,0.04561338787023583,0.018407251255259105,108.49958615396976,103.64732041047091,112.14690656444067,520.6836123466492
10_Day_Return,4.982837798890184,4.982837798890184,0.4338668473788762,0.2048788680922513,0.04330220857280409,0.02046902237471393,108.06992336124708,103.99513792779884,112.06506128904591,485.7486879825592
