Method,Average_RMSE,Average_MAE,Average_Actual_Return_Positive,Average_Actual_Return_Negative,Average_Actual_Return_Positive_Daily,Average_Actual_Return_Negative_Daily,Capital_Positive,Capital_Negative,Capital_Daily_Investment,Time_Taken
1_Day_Return,2.2708146402603995,2.2708146402603995,-0.004307919366193847,0.23459138982594469,-0.004307919366197677,0.2345913898259555,99.09964485246554,147.85664352449265,146.95628837695824,555.3292076587677
2_Day_Return,3.075296578051147,3.075296578051147,0.26649112629645405,0.010298357835452725,0.13315690933570767,0.005149046354335773,128.11481382427576,101.02468660462748,129.1395004289033,480.7550528049469
3_Day_Return,3.764981657105663,3.764981657105663,0.22769559263525738,0.08995202150685587,0.07584099776809516,0.029975021252215406,116.31818413886005,105.75692937643883,122.07511351529884,480.97180223464966
4_Day_Return,4.513433006813195,4.513433006813195,0.23295523316317757,0.1601751214103404,0.058188000934600304,0.040019750236330864,112.52134378252087,107.56827448663867,120.08961826915953,471.1041114330292
5_Day_Return,5.136820403658349,5.136820403658349,0.3560463415234259,0.12406711623000669,0.07110806921939439,0.024801118285244783,114.81152780737449,104.7889906864782,119.60051849385282,2520.21750497818
6_Day_Return,5.340555339223362,5.340555339223362,0.15281218696201065,0.42136642754926895,0.025452496590094853,0.07010475609638966,105.29748914801634,113.34327020572691,118.64075935374325,904.0932395458221
7_Day_Return,5.481865842576687,5.481865842576687,0.005874553639126523,0.6735737870376758,0.0008392008204127777,0.09594820291405348,100.16952283358614,118.57139155689599,118.74091439048213,882.1947960853577
8_Day_Return,7.041180193154745,7.041180193154745,0.07543237542021239,0.7162694307145535,0.00942593665136382,0.08925435864339804,101.89523843243282,117.10093265830987,118.99617109074268,869.5947113037109
9_Day_Return,8.614897741607107,8.614897741607107,0.3224404985669317,0.6414440005074867,0.035775483894195936,0.07106918705281906,107.2011711346615,113.39905245504526,120.60022358970672,719.2990822792053
10_Day_Return,9.585877965273244,9.585877965273244,0.15367223287340281,0.9555350351388181,0.015356606798633265,0.09514510165282708,103.10417910404264,117.5818446465542,120.68602375059685,492.2807514667511
